word,language,meaning,example_sentence
hola,Spanish,hello,"Hola, me llamo Carlos."
gracias,Spanish,thank you,Muchas gracias por tu ayuda.
amigo,Spanish,friend,Mi amigo vive en Madrid.
casa,Spanish,house,La casa es muy grande.
libro,Spanish,book,Estoy leyendo un libro interesante.
agua,Spanish,water,Necesito un vaso de agua.
comida,Spanish,food,La comida mexicana es deliciosa.
perro,Spanish,dog,El perro corre por el parque.
gato,Spanish,cat,El gato duerme en el sofa.
familia,Spanish,family,Mi familia es muy grande.
escuela,Spanish,school,Los estudiantes van a la escuela.
ciudad,Spanish,city,Barcelona es una ciudad bonita.
tiempo,Spanish,time / weather,No tengo mucho tiempo hoy.
trabajo,Spanish,work,Mi trabajo es muy interesante.
bueno,Spanish,good,Este restaurante es muy bueno.
grande,Spanish,big,El edificio es muy grande.
pequeno,Spanish,small,Tengo un apartamento pequeno.
comer,Spanish,to eat,Vamos a comer juntos.
dormir,Spanish,to sleep,Necesito dormir ocho horas.
hablar,Spanish,to speak,Quiero hablar espanol con fluidez.
